Category1Title,Category2Title,Category3Title,Category4Title,Category5Title,Period,Val
總計,服務業部門,-,-,-,7500,16871
總計,金融及保險業,-,-,-,7500,24565
總計,專業、科學及技術服務業,-,-,-,7500,18417
總計,運輸及倉儲業,-,-,-,7500,17469
總計,電力及燃氣供應業,-,-,-,7500,28998
總計,製造業,-,-,-,7500,13960
總計,營建工程業,-,-,-,7500,15037
總計,醫療保健及社會工作服務業,-,-,-,7500,19142
總計,藝術、娛樂及休閒服務業,-,-,-,7500,10869
總計,礦業及土石採取業,-,-,-,7500,17181
男,工業及服務業,-,-,-,7500,17793
男,工業部門,-,-,-,7500,16865
男,不動產業,-,-,-,7500,27103
男,支援服務業,-,-,-,7500,18002
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7500,24470
男,用水供應及污染整治業,-,-,-,7500,15661
男,住宿及餐飲業,-,-,-,7500,12245
男,批發及零售業,-,-,-,7500,18844
男,其他服務業,-,-,-,7500,12181
男,服務業部門,-,-,-,7500,19682
男,金融及保險業,-,-,-,7500,28656
男,專業、科學及技術服務業,-,-,-,7500,21644
男,運輸及倉儲業,-,-,-,7500,18451
男,電力及燃氣供應業,-,-,-,7500,29523
男,製造業,-,-,-,7500,16858
男,營建工程業,-,-,-,7500,15753
男,醫療保健及社會工作服務業,-,-,-,7500,27319
男,藝術、娛樂及休閒服務業,-,-,-,7500,12006
男,礦業及土石採取業,-,-,-,7500,18468
女,工業及服務業,-,-,-,7500,11589
女,工業部門,-,-,-,7500,10758
女,不動產業,-,-,-,7500,13533
女,支援服務業,-,-,-,7500,11956
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7500,19979
女,用水供應及污染整治業,-,-,-,7500,13751
女,住宿及餐飲業,-,-,-,7500,9168
女,批發及零售業,-,-,-,7500,12167
女,其他服務業,-,-,-,7500,8905
女,服務業部門,-,-,-,7500,13232
女,金融及保險業,-,-,-,7500,20632
女,專業、科學及技術服務業,-,-,-,7500,14046
女,運輸及倉儲業,-,-,-,7500,13689
女,電力及燃氣供應業,-,-,-,7500,24309
女,製造業,-,-,-,7500,10743
女,營建工程業,-,-,-,7500,10342
女,醫療保健及社會工作服務業,-,-,-,7500,15015
女,藝術、娛樂及休閒服務業,-,-,-,7500,9947
女,礦業及土石採取業,-,-,-,7500,9559
總計,工業及服務業,-,-,-,7600,16496
總計,工業部門,-,-,-,7600,15563
總計,不動產業,-,-,-,7600,23788
總計,支援服務業,-,-,-,7600,16288
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7600,24686
總計,用水供應及污染整治業,-,-,-,7600,15752
總計,住宿及餐飲業,-,-,-,7600,11151
總計,批發及零售業,-,-,-,7600,17196
總計,其他服務業,-,-,-,7600,11460
總計,服務業部門,-,-,-,7600,18338
總計,金融及保險業,-,-,-,7600,28054
總計,專業、科學及技術服務業,-,-,-,7600,20490
總計,運輸及倉儲業,-,-,-,7600,18390
總計,電力及燃氣供應業,-,-,-,7600,30242
總計,製造業,-,-,-,7600,15333
總計,營建工程業,-,-,-,7600,16045
總計,醫療保健及社會工作服務業,-,-,-,7600,20453
總計,藝術、娛樂及休閒服務業,-,-,-,7600,11854
總計,礦業及土石採取業,-,-,-,7600,17863
男,工業及服務業,-,-,-,7600,19315
男,工業部門,-,-,-,7600,18338
男,不動產業,-,-,-,7600,29127
男,支援服務業,-,-,-,7600,18225
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7600,26051
男,用水供應及污染整治業,-,-,-,7600,16127
男,住宿及餐飲業,-,-,-,7600,13191
男,批發及零售業,-,-,-,7600,20351
男,其他服務業,-,-,-,7600,13921
男,服務業部門,-,-,-,7600,21316
男,金融及保險業,-,-,-,7600,32054
男,專業、科學及技術服務業,-,-,-,7600,24333
男,運輸及倉儲業,-,-,-,7600,19457
男,電力及燃氣供應業,-,-,-,7600,30676
男,製造業,-,-,-,7600,18463
男,營建工程業,-,-,-,7600,16772
男,醫療保健及社會工作服務業,-,-,-,7600,31134
男,藝術、娛樂及休閒服務業,-,-,-,7600,13238
男,礦業及土石採取業,-,-,-,7600,19021
女,工業及服務業,-,-,-,7600,12777
女,工業部門,-,-,-,7600,11798
女,不動產業,-,-,-,7600,15145
女,支援服務業,-,-,-,7600,12707
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7600,21334
女,用水供應及污染整治業,-,-,-,7600,13813
女,住宿及餐飲業,-,-,-,7600,9630
女,批發及零售業,-,-,-,7600,13546
女,其他服務業,-,-,-,7600,9572
女,服務業部門,-,-,-,7600,14622
女,金融及保險業,-,-,-,7600,24514
女,專業、科學及技術服務業,-,-,-,7600,15517
女,運輸及倉儲業,-,-,-,7600,14234
女,電力及燃氣供應業,-,-,-,7600,26100
女,製造業,-,-,-,7600,11790
女,營建工程業,-,-,-,7600,11221
女,醫療保健及社會工作服務業,-,-,-,7600,15309
女,藝術、娛樂及休閒服務業,-,-,-,7600,10719
女,礦業及土石採取業,-,-,-,7600,10266
總計,工業及服務業,-,-,-,7700,18399
總計,工業部門,-,-,-,7700,17282
總計,不動產業,-,-,-,7700,25924
總計,支援服務業,-,-,-,7700,17197
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7700,27544
總計,用水供應及污染整治業,-,-,-,7700,20688
總計,住宿及餐飲業,-,-,-,7700,12142
總計,批發及零售業,-,-,-,7700,19024
總計,其他服務業,-,-,-,7700,12829
總計,服務業部門,-,-,-,7700,20441
總計,金融及保險業,-,-,-,7700,32362
總計,專業、科學及技術服務業,-,-,-,7700,22883
總計,運輸及倉儲業,-,-,-,7700,20173
總計,電力及燃氣供應業,-,-,-,7700,34495
總計,製造業,-,-,-,7700,16987
總計,營建工程業,-,-,-,7700,17879
總計,醫療保健及社會工作服務業,-,-,-,7700,22887
總計,藝術、娛樂及休閒服務業,-,-,-,7700,13207
總計,礦業及土石採取業,-,-,-,7700,19762
男,工業及服務業,-,-,-,7700,21549
男,工業部門,-,-,-,7700,20494
男,不動產業,-,-,-,7700,31420
男,支援服務業,-,-,-,7700,19032
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7700,29327
男,用水供應及污染整治業,-,-,-,7700,21430
男,住宿及餐飲業,-,-,-,7700,14611
男,批發及零售業,-,-,-,7700,22278
男,其他服務業,-,-,-,7700,15845
男,服務業部門,-,-,-,7700,23577
男,金融及保險業,-,-,-,7700,37279
男,專業、科學及技術服務業,-,-,-,7700,26948
男,運輸及倉儲業,-,-,-,7700,21359
男,電力及燃氣供應業,-,-,-,7700,35063
男,製造業,-,-,-,7700,20591
男,營建工程業,-,-,-,7700,18766
男,醫療保健及社會工作服務業,-,-,-,7700,34319
男,藝術、娛樂及休閒服務業,-,-,-,7700,15089
男,礦業及土石採取業,-,-,-,7700,21021
女,工業及服務業,-,-,-,7700,14260
女,工業部門,-,-,-,7700,12884
女,不動產業,-,-,-,7700,17260
女,支援服務業,-,-,-,7700,13923
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7700,23394
女,用水供應及污染整治業,-,-,-,7700,17266
女,住宿及餐飲業,-,-,-,7700,10330
女,批發及零售業,-,-,-,7700,15258
女,其他服務業,-,-,-,7700,10294
女,服務業部門,-,-,-,7700,16617
女,金融及保險業,-,-,-,7700,28478
女,專業、科學及技術服務業,-,-,-,7700,17567
女,運輸及倉儲業,-,-,-,7700,15749
女,電力及燃氣供應業,-,-,-,7700,28999
女,製造業,-,-,-,7700,12858
女,營建工程業,-,-,-,7700,12538
女,醫療保健及社會工作服務業,-,-,-,7700,17573
女,藝術、娛樂及休閒服務業,-,-,-,7700,11587
女,礦業及土石採取業,-,-,-,7700,11531
總計,工業及服務業,-,-,-,7800,21247
總計,工業部門,-,-,-,7800,19918
總計,不動產業,-,-,-,7800,30359
總計,支援服務業,-,-,-,7800,18896
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7800,32565
總計,用水供應及污染整治業,-,-,-,7800,23022
總計,住宿及餐飲業,-,-,-,7800,13491
總計,批發及零售業,-,-,-,7800,21021
總計,其他服務業,-,-,-,7800,14737
總計,服務業部門,-,-,-,7800,23440
總計,金融及保險業,-,-,-,7800,39248
總計,專業、科學及技術服務業,-,-,-,7800,26065
總計,運輸及倉儲業,-,-,-,7800,23368
總計,電力及燃氣供應業,-,-,-,7800,42612
總計,製造業,-,-,-,7800,19429
總計,營建工程業,-,-,-,7800,21433
總計,醫療保健及社會工作服務業,-,-,-,7800,25146
總計,藝術、娛樂及休閒服務業,-,-,-,7800,16154
總計,礦業及土石採取業,-,-,-,7800,21689
男,工業及服務業,-,-,-,7800,24888
男,工業部門,-,-,-,7800,23714
男,不動產業,-,-,-,7800,36782
男,支援服務業,-,-,-,7800,20856
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7800,34889
男,用水供應及污染整治業,-,-,-,7800,23794
男,住宿及餐飲業,-,-,-,7800,15885
男,批發及零售業,-,-,-,7800,24820
男,其他服務業,-,-,-,7800,18652
男,服務業部門,-,-,-,7800,26966
男,金融及保險業,-,-,-,7800,45322
男,專業、科學及技術服務業,-,-,-,7800,30401
男,運輸及倉儲業,-,-,-,7800,24639
男,電力及燃氣供應業,-,-,-,7800,43267
男,製造業,-,-,-,7800,23651
男,營建工程業,-,-,-,7800,22464
男,醫療保健及社會工作服務業,-,-,-,7800,37084
男,藝術、娛樂及休閒服務業,-,-,-,7800,18525
男,礦業及土石採取業,-,-,-,7800,23192
女,工業及服務業,-,-,-,7800,16434
女,工業部門,-,-,-,7800,14581
女,不動產業,-,-,-,7800,20517
女,支援服務業,-,-,-,7800,15630
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7800,27387
女,用水供應及污染整治業,-,-,-,7800,19479
女,住宿及餐飲業,-,-,-,7800,11723
女,批發及零售業,-,-,-,7800,16599
女,其他服務業,-,-,-,7800,11236
女,服務業部門,-,-,-,7800,19225
女,金融及保險業,-,-,-,7800,34867
女,專業、科學及技術服務業,-,-,-,7800,20427
女,運輸及倉儲業,-,-,-,7800,18804
女,電力及燃氣供應業,-,-,-,7800,36893
女,製造業,-,-,-,7800,14473
女,營建工程業,-,-,-,7800,15581
女,醫療保健及社會工作服務業,-,-,-,7800,19692
女,藝術、娛樂及休閒服務業,-,-,-,7800,13985
女,礦業及土石採取業,-,-,-,7800,13102
總計,工業及服務業,-,-,-,7900,24317
總計,工業部門,-,-,-,7900,22683
總計,不動產業,-,-,-,7900,33984
總計,支援服務業,-,-,-,7900,22457
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7900,36866
總計,用水供應及污染整治業,-,-,-,7900,28249
總計,住宿及餐飲業,-,-,-,7900,15448
總計,批發及零售業,-,-,-,7900,24692
總計,其他服務業,-,-,-,7900,16902
總計,服務業部門,-,-,-,7900,26760
總計,金融及保險業,-,-,-,7900,39061
總計,專業、科學及技術服務業,-,-,-,7900,31149
總計,運輸及倉儲業,-,-,-,7900,26375
總計,電力及燃氣供應業,-,-,-,7900,47466
總計,製造業,-,-,-,7900,22011
總計,營建工程業,-,-,-,7900,24719
總計,醫療保健及社會工作服務業,-,-,-,7900,29158
總計,藝術、娛樂及休閒服務業,-,-,-,7900,17888
總計,礦業及土石採取業,-,-,-,7900,26522
男,工業及服務業,-,-,-,7900,28376
